frame,V,O
37500,chopping,tomatoes
37560,chopping,vegetables
37620-37740,cooking,kitchen
37800,cooking,meal
37860,cooking,kitchen
37920,preparing,food
37980,cooking,meal
38040,preparing,food
38100,standing,kitchen
38160,pouring,bowl
38220-38280,cooking,kitchen
38340-38400,cooking,meal
38460,preparing,food
38520-38580,preparing,meal
38640-38700,cooking,meal
38760,preparing,dish
38820-38880,preparing,meal
38940-39000,cooking,meal
39060,preparing,meal
39120-39240,cooking,meal
39300-39420,standing,kitchen
39480,walking,kitchen
39540-39660,standing,kitchen
39720,cooking,meal
39780-39840,preparing,food
39900-39960,preparing,meal
40020,standing,kitchen
40080,walking,kitchen
40140-43320,standing,kitchen
43380,stealing,food
43440-45420,standing,kitchen
45480,,
45540-45960,standing,kitchen
46020,preparing,food
46080-49140,standing,kitchen
49200,preparing,food
49260,standing,kitchen
49320,preparing,food
49380,standing,kitchen
49440,preparing,food
49500-49560,standing,kitchen
49620,preparing,food
49680-50520,standing,kitchen
50580,preparing,food
50640,,
50700-50760,stealing,food
50820-50940,standing,kitchen
51000,walking,kitchen
51060-51180,standing,kitchen
51240-51300,walking,kitchen
51360-52800,,
